Tissues	N	GTEx_sameN_lowN	GTEx_allN_metaBrain	GTEx_sameN	GTExCorr0.934_allSameN_pm200	GTExCorr0.934	SimilarN	SimilarNkeepsmall
Adipose_Subcutaneous	492	Adipose_Subcutaneous	Adipose_Subcutaneous	Adipose_Subcutaneous	Adipose_Subcutaneous	Adipose	Adipose	Adipose_Subcutaneous
Adipose_Visceral_Omentum	402	Adipose_Visceral_Omentum	Adipose_Visceral_Omentum	Adipose_Visceral_Omentum	Remove	Adipose	Adipose	Adipose_Visceral_Omentum
Adrenal_Gland	200	Adrenal_Gland	Adrenal_Gland	Remove	Remove	Adrenal_Gland	Digestive	LiverKidney
Artery_Aorta	338	Artery_Aorta	Artery_Aorta	Artery_Aorta	Remove	Artery	Remove	Heart_Artery
Artery_Coronary	180	Artery_Coronary	Artery_Coronary	Remove	Remove	Artery	Heart	Heart_Artery
Artery_Tibial	489	Artery_Tibial	Artery_Tibial	Artery_Tibial	Artery_Tibial	Artery	Remove	Leg_Artery
Brain_Amygdala	119	Brain_Limbic	Brain_Limbic	Brain_Limbic	Brain_Limbic	Brain_Limbic	Remove	Brain_Limbic
Brain_Anterior_cingulate_cortex_BA24	136	Brain_Cortex	Brain_Cortex	Brain_Cortex	Brain_Cortex	Brain_Cortex	Brain	Brain_Cortex
Brain_Caudate_basal_ganglia	173	Brain_BasalGanglia	Brain_BasalGanglia	Brain_BasalGanglia	Brain_BasalGanglia	Brain_BasalGanglia	Remove	Brain_BasalGanglia
Brain_Cerebellar_Hemisphere	158	Brain_Cerebellum	Brain_Cerebellum	Brain_Cerebellum	Brain_Cerebellum	Brain_Cerebellum	Remove	Brain_Cerebellum
Brain_Cerebellum	189	Brain_Cerebellum	Brain_Cerebellum	Brain_Cerebellum	Brain_Cerebellum	Brain_Cerebellum	Brain	Brain_Cerebellum
Brain_Cortex	184	Brain_Cortex	Brain_Cortex	Brain_Cortex	Brain_Cortex	Brain_Cortex	Brain	Brain_Cortex
Brain_Frontal_Cortex_BA9	158	Brain_Cortex	Brain_Cortex	Brain_Cortex	Brain_Cortex	Brain_Cortex	Remove	Brain_Cortex
Brain_Hippocampus	151	Brain_Limbic	Brain_Limbic	Brain_Limbic	Brain_Limbic	Brain_Limbic	Brain	Brain_Limbic
Brain_Hypothalamus	157	Brain_Limbic	Brain_Limbic	Brain_Limbic	Brain_Limbic	Brain_Limbic	Remove	Brain_Limbic
Brain_Nucleus_accumbens_basal_ganglia	182	Brain_BasalGanglia	Brain_BasalGanglia	Brain_BasalGanglia	Brain_BasalGanglia	Brain_BasalGanglia	Brain	Brain_BasalGanglia
Brain_Putamen_basal_ganglia	154	Brain_BasalGanglia	Brain_BasalGanglia	Brain_BasalGanglia	Brain_BasalGanglia	Brain_BasalGanglia	Remove	Brain_BasalGanglia
Brain_Spinal_cord_cervical_c-1	115	Brain_Spinal_cord_cervical_c-1	Brain_Spinal_cord_cervical_c-1	Remove	Remove	Brain_Spinal_cord_cervical_c-1	Remove	Remove
Brain_Substantia_nigra	101	Brain_Substantia_nigra	Brain_Substantia_nigra	Remove	Remove	Brain_Substantia_nigra	Remove	Remove
Breast_Mammary_Tissue	337	Breast_Mammary_Tissue	Breast_Mammary_Tissue	Breast_Mammary_Tissue	Remove	Adipose	Remove	Breast
Cells_EBV-transformed_lymphocytes	116	Cells_EBV-transformed_lymphocytes	Cells_EBV-transformed_lymphocytes	Remove	Remove	Cells_EBV-transformed_lymphocytes	Immune	Lymph
Cells_Cultured_fibroblasts	416	Cells_Cultured_fibroblasts	Cells_Cultured_fibroblasts	Cells_Cultured_fibroblasts	Cells_Cultured_fibroblasts	Cells_Cultured_fibroblasts	Remove	Fibroblasts
Colon_Sigmoid	273	Colon_Sigmoid	Colon_Sigmoid	Colon_Sigmoid	Colon_Sigmoid	Colon_Sigmoid	Remove	Colon
Colon_Transverse	305	Colon_Transverse	Colon_Transverse	Colon_Transverse	Colon_Transverse	Colon_Transverse	Remove	Colon
Esophagus_Gastroesophageal_Junction	281	Colon_Sigmoid	Esophagus_Gastroesophageal_Junction	Colon_Sigmoid	Colon_Sigmoid	Colon_Sigmoid	Remove	Stomach
Esophagus_Mucosa	424	Esophagus_Mucosa	Esophagus_Mucosa	Esophagus_Mucosa	Esophagus_Mucosa	Esophagus_Mucosa	Esophagus	Esophagus_Mucosa
Esophagus_Muscularis	396	Esophagus_Muscularis	Esophagus_Muscularis	Esophagus_Muscularis	Remove	Colon_Sigmoid	Esophagus	Esophagus_Muscularis
Heart_Atrial_Appendage	322	Heart_Atrial_Appendage	Heart_Atrial_Appendage	Heart_Atrial_Appendage	Remove	Heart	Heart	Remove
Heart_Left_Ventricle	334	Heart_Left_Ventricle	Heart_Left_Ventricle	Heart_Left_Ventricle	Heart_Left_Ventricle	Heart	Heart	Heart_Left_Ventricle
Kidney_Cortex	65	Remove	Kidney_Cortex	Remove	Remove	Kidney_Cortex	Remove	LiverKidney
Liver	183	Liver	Liver	Remove	Remove	Liver	Digestive	LiverKidney
Lung	444	Lung	Lung	Lung	Lung	Lung	LungThyroid	Lung
Minor_Salivary_Gland	118	Minor_Salivary_Gland	Minor_Salivary_Gland	Remove	Remove	Minor_Salivary_Gland	Digestive	Remove
Muscle_Skeletal	602	Muscle_Skeletal	Muscle_Skeletal	Muscle_Skeletal	Remove	Muscle_Skeletal	Remove	Muscle_Skeletal
Nerve_Tibial	449	Nerve_Tibial	Nerve_Tibial	Nerve_Tibial	Nerve_Tibial	Nerve_Tibial	Remove	Nerve_Tibial
Ovary	140	Ovary	Ovary	Remove	Remove	Ovary	Remove	Remove
Pancreas	252	Pancreas	Pancreas	Remove	Remove	Pancreas	Remove	Remove
Pituitary	220	Pituitary	Pituitary	Remove	Remove	Pituitary	Remove	Remove
Prostate	186	Prostate	Prostate	Remove	Remove	Prostate	Remove	Remove
Skin_Not_Sun_Exposed_Suprapubic	440	Skin_Not_Sun_Exposed_Suprapubic	Skin_Not_Sun_Exposed_Suprapubic	Skin_Not_Sun_Exposed_Suprapubic	Remove	Skin	Skin	Skin_Not_Sun_Exposed_Suprapubic
Skin_Sun_Exposed_Lower_leg	518	Skin_Sun_Exposed_Lower_leg	Skin_Sun_Exposed_Lower_leg	Skin_Sun_Exposed_Lower_leg	Skin_Sun_Exposed_Lower_leg	Skin	Skin	Skin_Sun_Exposed_Lower_leg
Small_Intestine_Terminal_Ileum	144	Colon_Transverse	Small_Intestine_Terminal_Ileum	Colon_Transverse	Colon_Transverse	Colon_Transverse	Digestive	Remove
Spleen	185	Spleen	Spleen	Remove	Remove	Spleen	Immune	Lymph
Stomach	269	Stomach	Stomach	Remove	Remove	Stomach	Digestive	Stomach
Testis	277	Testis	Testis	Remove	Remove	Testis	Remove	Remove
Thyroid	494	Thyroid	Thyroid	Thyroid	Thyroid	Thyroid	LungThyroid	Thyroid
Uterus	108	Uterus	Uterus	Remove	Remove	Uterus	Remove	Remove
Vagina	122	Vagina	Vagina	Remove	Remove	Vagina	Remove	Remove
Whole_Blood	574	Whole_Blood	Whole_Blood	Whole_Blood	Whole_Blood	Whole_Blood	Immune	Blood
