Tissue	Variance	JK_SE	P	FDRP	Variance_divideby_Total
Adipose_Subcutaneous	0.000860250698673383	0.000796903993784665	0.140184449209512	0.770853502707236	0.432278311222113
Adipose_Visceral_Omentum	-0.000302626258348203	0.000607899043320547	0.690695675429644	0.871540819811373	-0.152070516294805
Artery_Aorta	0.00139540664158393	0.00142758478442815	0.164170801813832	0.770853502707236	0.70119562520814
Artery_Tibial	-7.33120336507139e-05	0.000914651127042381	0.531942215611131	0.770853502707236	-0.0368394959139949
Brain_Limbic	0.000287036895241182	0.000510130765454962	0.286828728379604	0.770853502707236	0.144236819016414
Brain_Cortex	-1.88485307863221e-05	0.000505656150809069	0.514867286547061	0.770853502707236	-0.0094714378842055
Brain_BasalGanglia	0.000294975912389227	0.000688515388009014	0.334171546654528	0.770853502707236	0.14822619668366
Brain_Cerebellum	-0.000646836656513093	0.000720037246153163	0.815497249889445	0.871540819811373	-0.325037175727073
Breast_Mammary_Tissue	-0.00110902884262653	0.000658944815654487	0.953816084996525	0.953816084996525	-0.557290003863434
Cells_Cultured_fibroblasts	0.000168726419716802	0.000883572574827142	0.424278731536602	0.770853502707236	0.0847854839132482
Colon_Sigmoid	0.000130181757153481	0.000721449626224322	0.428401734634	0.770853502707236	0.0654166863462208
Colon_Transverse	0.000289146905761839	0.000776415906265158	0.354792914021312	0.770853502707236	0.145297105030639
Esophagus_Mucosa	0.00032564576690476	0.000773566078421797	0.336889601146081	0.770853502707236	0.163637881830616
Esophagus_Muscularis	4.01939838721659e-05	0.00123652966167158	0.487034475002468	0.770853502707236	0.020197586001782
Heart_Atrial_Appendage	0.000248154114439435	0.000632227532971018	0.347341596849004	0.770853502707236	0.124698116116761
Heart_Left_Ventricle	-0.000549645251009447	0.000567416325917638	0.833647740689139	0.871540819811373	-0.276198230636752
Lung	0.000288967529810687	0.000756045326799067	0.351153074501654	0.770853502707236	0.145206968128272
Muscle_Skeletal	0.000322214629829706	0.00062017284151298	0.301686474825402	0.770853502707236	0.161913726136626
Nerve_Tibial	-0.000545346170731812	0.000838008646755373	0.742400698879101	0.871540819811373	-0.274037931127446
Skin_Not_Sun_Exposed_Suprapubic	-0.000728807067119236	0.00133797636674894	0.707022982668697	0.871540819811373	-0.366227529564217
Skin_Sun_Exposed_Lower_leg	0.00189111690888836	0.00204194144171323	0.177187471734979	0.770853502707236	0.950291380127347
Thyroid	-7.98849595067598e-05	0.000878045878049955	0.536245914926773	0.770853502707236	-0.0401424089987752
Whole_Blood	-0.000497643392845697	0.000550059493341631	0.81719003039059	0.871540819811373	-0.250067155751136
AllTissues	0.00199003900112714	0.000694105235902356	0.00207154451319032	NA	0.999999999999998
